bag of sift, 100, 5, RGB, nearest neighbor, 8.000000, 0.510667 
bag of sift, 100, 5, RGB, nearest neighbor, 9.000000, 0.510667 
bag of sift, 100, 5, RGB, nearest neighbor, 10.000000, 0.521333 
bag of sift, 100, 5, RGB, nearest neighbor, 11.000000, 0.517333 
bag of sift, 100, 5, RGB, nearest neighbor, 12.000000, 0.521333 
bag of sift, 100, 5, RGB, nearest neighbor, 13.000000, 0.513333 
bag of sift, 100, 5, RGB, nearest neighbor, 14.000000, 0.512667 
bag of sift, 100, 5, RGB, nearest neighbor, 15.000000, 0.513333 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 10.000000, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 1.000000, 0.068667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.100000, 0.068000 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.010000, 0.067333 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.001000, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000100, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000010, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000110, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000010, 0.075333 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000020, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000030, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000040, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000050, 0.073333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.077333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.076000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.072000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.076667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.072667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.074667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.081333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.090000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.092667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.089333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.084000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.082667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.086000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.084000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.088000 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 10.000000, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 1.000000, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.100000, 0.070000 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.010000, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.001000, 0.069333 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000100, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000010, 0.094667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000110, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000010, 0.080667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000020, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000030, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000040, 0.074667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000050, 0.066667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.079333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.074667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.073333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.073333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.075333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.076000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.078000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.085333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.082000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.084667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.084000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.086000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.086667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.086667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.089333 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 10.000000, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 1.000000, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.100000, 0.068667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.010000, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.001000, 0.069333 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000100, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000010, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000110, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000010, 0.069333 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000020, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000030, 0.066667 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000040, 0.072000 
bag of sift, 200, 5, GRAYSCALE, support vector machine, 0.000050, 0.068000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 1.000000, 0.078667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 2.000000, 0.078667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 3.000000, 0.076000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 4.000000, 0.080667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 5.000000, 0.074667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 6.000000, 0.075333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 7.000000, 0.080667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 8.000000, 0.085333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 9.000000, 0.086000 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 10.000000, 0.087333 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 11.000000, 0.086667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 12.000000, 0.086667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 13.000000, 0.088667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 14.000000, 0.088667 
bag of sift, 200, 5, GRAYSCALE, nearest neighbor, 15.000000, 0.088000 
bag of sift, 200, 5, RGB, support vector machine, 10.000000, 0.594000 
bag of sift, 200, 5, RGB, support vector machine, 1.000000, 0.600667 
bag of sift, 200, 5, RGB, support vector machine, 0.100000, 0.599333 
bag of sift, 200, 5, RGB, support vector machine, 0.010000, 0.600667 
bag of sift, 200, 5, RGB, support vector machine, 0.001000, 0.604667 
bag of sift, 200, 5, RGB, support vector machine, 0.000100, 0.606667 
bag of sift, 200, 5, RGB, support vector machine, 0.000010, 0.607333 
bag of sift, 200, 5, RGB, support vector machine, 0.000110, 0.612000 
bag of sift, 200, 5, RGB, support vector machine, 0.000010, 0.588667 
bag of sift, 200, 5, RGB, support vector machine, 0.000020, 0.605333 
bag of sift, 200, 5, RGB, support vector machine, 0.000030, 0.602000 
bag of sift, 200, 5, RGB, support vector machine, 0.000040, 0.594667 
bag of sift, 200, 5, RGB, support vector machine, 0.000050, 0.602000 
bag of sift, 200, 5, RGB, nearest neighbor, 1.000000, 0.508667 
bag of sift, 200, 5, RGB, nearest neighbor, 2.000000, 0.476000 
bag of sift, 200, 5, RGB, nearest neighbor, 3.000000, 0.490000 
bag of sift, 200, 5, RGB, nearest neighbor, 4.000000, 0.510000 
bag of sift, 200, 5, RGB, nearest neighbor, 5.000000, 0.525333 
bag of sift, 200, 5, RGB, nearest neighbor, 6.000000, 0.518667 
bag of sift, 200, 5, RGB, nearest neighbor, 7.000000, 0.528000 
bag of sift, 200, 5, RGB, nearest neighbor, 8.000000, 0.531333 
bag of sift, 200, 5, RGB, nearest neighbor, 9.000000, 0.544000 
bag of sift, 200, 5, RGB, nearest neighbor, 10.000000, 0.535333 
