FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000100, 0.701333 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.697333 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000110, 0.692667 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000010, 0.699333 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000020, 0.696000 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000030, 0.702000 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000040, 0.700000 
spatial pyramid, 1000, 3, 5, 10, GRAYSCALE, 0, support vector machine, 0.000050, 0.694667 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 10.000000, 0.596667 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 1.000000, 0.671333 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.100000, 0.678000 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.010000, 0.676667 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.001000, 0.657333 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.000100, 0.665333 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.000010, 0.666667 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.000110, 0.673333 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.000010, 0.671333 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.000020, 0.658667 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.000030, 0.664000 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.000040, 0.672667 
spatial pyramid, 100, 3, 5, 10, RGB, 0, support vector machine, 0.000050, 0.670000 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 10.000000, 0.565333 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 1.000000, 0.698667 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.100000, 0.714667 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.010000, 0.708667 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.001000, 0.709333 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.000100, 0.708000 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.000010, 0.710667 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.000110, 0.708000 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.000010, 0.710000 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.000020, 0.710000 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.000030, 0.703333 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.000040, 0.713333 
spatial pyramid, 1000, 3, 5, 10, RGB, 0, support vector machine, 0.000050, 0.708000 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.442667 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.582667 
spatial pyramid, 100, 3, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.630667 
