                !--TOO MANY VARIABLES, TOO SLOW, COULD NOT BE FINISHED--!

FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/Lambda,accuracy
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.340000 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.362000 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.370667 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.370667 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.386000 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.394667 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.400667 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.402667 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.398667 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.402667 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.400667 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.399333 
spatial pyramid, 10, 10, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.400667 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 10.000000, 0.298667 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 1.000000, 0.277333 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.100000, 0.251333 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.010000, 0.300000 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.001000, 0.182667 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.000100, 0.290000 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.000010, 0.267333 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.000110, 0.255333 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.000010, 0.291333 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.000020, 0.292000 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.000030, 0.286667 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.000040, 0.268667 
spatial pyramid, 10, 15, 10, GRAYSCALE, support vector machine, 0.000050, 0.240667 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.302000 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.284000 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.300000 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.321333 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.346667 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.362667 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.369333 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.365333 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.364000 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.366000 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.378000 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.378000 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.384667 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.390000 
spatial pyramid, 10, 15, 10, GRAYSCALE, nearest neighbor, 0.000050, 0.392667 
