FEATURE,VOCAB_SIZE,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,CLASSIFIER,k/Lambda,accuracy
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 9.000000, 0.497333 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 10.000000, 0.506000 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 11.000000, 0.510667 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 12.000000, 0.508000 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 13.000000, 0.514000 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 14.000000, 0.516000 
spatial pyramid, 100, 5, 10, GRAYSCALE, nearest neighbor, 15.000000, 0.508000 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 10.000000, 0.520000 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 1.000000, 0.511333 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.100000, 0.552667 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.010000, 0.557333 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.001000, 0.509333 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.000100, 0.531333 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.000010, 0.524000 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.000110, 0.536000 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.000010, 0.504000 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.000020, 0.506667 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.000030, 0.546667 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.000040, 0.496000 
spatial pyramid, 100, 5, 10, RGB, support vector machine, 0.000050, 0.518000 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 1.000000, 0.501333 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 2.000000, 0.465333 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 3.000000, 0.488667 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 4.000000, 0.496667 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 5.000000, 0.515333 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 6.000000, 0.525333 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 7.000000, 0.523333 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 8.000000, 0.520000 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 9.000000, 0.512667 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 10.000000, 0.523333 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 11.000000, 0.521333 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 12.000000, 0.514667 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 13.000000, 0.516000 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 14.000000, 0.520667 
spatial pyramid, 100, 5, 10, RGB, nearest neighbor, 15.000000, 0.519333 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 10.000000, 0.532000 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 1.000000, 0.536667 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.100000, 0.522000 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.010000, 0.515333 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.001000, 0.542667 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.000100, 0.532000 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.532667 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.000110, 0.545333 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.000010, 0.531333 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.000020, 0.537333 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.000030, 0.536000 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.000040, 0.528000 
spatial pyramid, 200, 5, 10, GRAYSCALE, support vector machine, 0.000050, 0.527333 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 1.000000, 0.496000 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 2.000000, 0.464000 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 3.000000, 0.478667 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 4.000000, 0.486000 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 5.000000, 0.508667 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 6.000000, 0.502667 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 7.000000, 0.508667 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 8.000000, 0.526667 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 9.000000, 0.518000 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 10.000000, 0.519333 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 11.000000, 0.519333 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 12.000000, 0.515333 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 13.000000, 0.517333 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 14.000000, 0.516667 
spatial pyramid, 200, 5, 10, GRAYSCALE, nearest neighbor, 15.000000, 0.511333 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 10.000000, 0.598667 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 1.000000, 0.590667 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.100000, 0.587333 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.010000, 0.560667 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.001000, 0.580000 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.000100, 0.550000 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.000010, 0.587333 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.000110, 0.553333 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.000010, 0.583333 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.000020, 0.585333 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.000030, 0.585333 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.000040, 0.576000 
spatial pyramid, 200, 5, 10, RGB, support vector machine, 0.000050, 0.573333 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 1.000000, 0.520000 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 2.000000, 0.483333 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 3.000000, 0.505333 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 4.000000, 0.506000 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 5.000000, 0.519333 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 6.000000, 0.524667 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 7.000000, 0.526000 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 8.000000, 0.522000 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 9.000000, 0.526000 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 10.000000, 0.533333 
spatial pyramid, 200, 5, 10, RGB, nearest neighbor, 11.000000, 0.525333 
